C406545	01	06	2021-08-08 08:01:12	52 	东单路口东	TX379	202108081390						2021-08-08
C488438	01	06	2021-08-08 08:05:55	52 	王府井	SX660	202108088333						2021-08-08
C426146	01	06	2021-08-08 08:06:37	52 	马官营西	BE530	202108088328						2021-08-08
C788075	01	06	2021-08-08 08:35:48	72 	木樨园桥北 	QH494	202108084496						2021-08-08
C341050	01	06	2021-08-08 08:44:40	1 	东翠路口	BF613	202108088094						2021-08-08
C625082	01	06	2021-08-08 08:15:34	821 	温馨家园西站	CL533	202108086009						2021-08-08
C302231	01	06	2021-08-08 08:45:32	52 	靛厂新村	RA614	202108087113						2021-08-08
C424200	01	06	2021-08-08 08:44:03	72 	洋桥东	EA667	202108084332						2021-08-08
C604665	01	06	2021-08-08 08:20:38	1 	木樨地西	ZX218	202108086645						2021-08-08
C535526	01	06	2021-08-08 08:07:28	821 	天华北街东口	TK581	202108081613						2021-08-08
C319396	01	06	2021-08-08 08:04:28	1 	公主坟	BZ734	202108087189						2021-08-08
C404996	01	06	2021-08-08 08:38:57	52 	马官营	LE453	202108083858						2021-08-08
C540009	01	06	2021-08-08 08:49:48	1 	大北窑东	VZ288	202108086889						2021-08-08
C527106	01	06	2021-08-08 08:29:23	72 	马家堡东口	WQ468	202108085100						2021-08-08
C724302	01	06	2021-08-08 08:36:44	1 	天安门西	HO345	202108084418						2021-08-08
C847878	01	06	2021-08-08 08:21:47	1 	东翠路口	ZA311	202108087070						2021-08-08
C450349	01	06	2021-08-08 08:21:00	72 	北京体育馆西	UV926	202108084361						2021-08-08
C539528	01	06	2021-08-08 08:37:06	821 	金桥北门	ZO546	202108089807						2021-08-08
C728190	01	06	2021-08-08 08:35:10	72 	天坛北门	SQ983	202108083739						2021-08-08
C502811	01	06	2021-08-08 08:37:30	52 	民族文化宫	YT354	202108083902						2021-08-08
C698620	01	06	2021-08-08 08:35:29	1 	永定路口东	FB782	202108082366						2021-08-08
C505284	01	06	2021-08-08 08:42:43	72 	木樨园桥西	HY841	202108089083						2021-08-08
C681808	01	06	2021-08-08 08:47:12	52 	靛厂新村	CI410	202108081428						2021-08-08
C697492	01	06	2021-08-08 08:29:58	52 	复兴门内	RP643	202108082233						2021-08-08
C729325	01	06	2021-08-08 08:23:31	1 	工会大楼	HA381	202108084703						2021-08-08
C540369	01	06	2021-08-08 08:39:30	52 	靛厂村	IV376	202108087136						2021-08-08
C644487	01	06	2021-08-08 08:41:22	1 	翠微路口	AJ714	202108084447						2021-08-08
C585577	01	06	2021-08-08 08:09:47	821 	同济中路北口	MU973	202108085654						2021-08-08
C467144	01	06	2021-08-08 08:46:53	52 	马官营	QF808	202108084076						2021-08-08
C702687	01	06	2021-08-08 08:12:40	821 	天华北街东口	ZZ534	202108089717						2021-08-08
C608224	01	06	2021-08-08 08:45:26	52 	王府井	XK577	202108086591						2021-08-08
C466034	01	06	2021-08-08 08:10:04	1 	复兴门内	MV156	202108084219						2021-08-08
C450665	01	06	2021-08-08 08:20:32	1 	西单路口东	SI957	202108083593						2021-08-08
C513885	01	06	2021-08-08 08:20:47	821 	天华北街东口	QN162	202108083320						2021-08-08
C871356	01	06	2021-08-08 08:29:11	1 	永安里路口西 	JM786	202108081533						2021-08-08
C363643	01	06	2021-08-08 08:32:21	821 	通州第二医院	PU813	202108082863						2021-08-08
C503184	01	06	2021-08-08 08:47:27	52 	莲宝路口东	LW260	202108085275						2021-08-08
C769299	01	06	2021-08-08 08:21:20	1 	军事博物馆	GG283	202108081243						2021-08-08
C830584	01	06	2021-08-08 08:51:25	821 	天华北街东口	ML910	202108087542						2021-08-08
C475556	01	06	2021-08-08 08:28:34	821 	贵园东里	CB877	202108089381						2021-08-08
C750440	01	06	2021-08-08 08:23:34	52 	劲松中街	HK297	202108088685						2021-08-08
C856309	01	06	2021-08-08 08:47:34	821 	通州第二医院	YU994	202108087874						2021-08-08
C513659	01	06	2021-08-08 08:36:47	821 	大周易村	GL342	202108081668						2021-08-08
C765134	01	06	2021-08-08 08:48:55	52 	六里桥北	LO527	202108088273						2021-08-08
C679430	01	06	2021-08-08 08:47:57	72 	光明楼	FC793	202108086637						2021-08-08
C669336	01	06	2021-08-08 08:45:44	52 	光明桥东	RD171	202108082929						2021-08-08
C707031	01	06	2021-08-08 08:24:20	72 	角门北路东口	FU345	202108088879						2021-08-08
C452408	01	06	2021-08-08 08:48:06	821 	隆盛产业园亦庄线	FF201	202108085751						2021-08-08
C698877	01	06	2021-08-08 08:30:59	821 	地铁亦庄桥站亦庄线	RZ468	202108083327						2021-08-08
C496010	01	06	2021-08-08 08:11:13	72 	城南嘉园北	DS537	202108089431						2021-08-08
C759234	01	06	2021-08-08 08:28:08	72 	城南嘉园北	WE114	202108083666						2021-08-08
C841140	01	06	2021-08-08 08:00:45	52 	王府井	LU474	202108089308						2021-08-08
C403729	01	06	2021-08-08 08:14:07	52 	复兴门内	GG513	202108084874						2021-08-08
C549711	01	06	2021-08-08 08:48:47	821 	同济北路南口	QN767	202108086250						2021-08-08
C786887	01	06	2021-08-08 08:35:51	1 	北京站口东	XY257	202108087689						2021-08-08
C883302	01	06	2021-08-08 08:06:24	52 	西单路口东	BZ934	202108087618						2021-08-08
C641339	01	06	2021-08-08 08:39:36	821 	永昌南路	JA311	202108087645						2021-08-08
C639731	01	06	2021-08-08 08:33:21	1 	沙沟路口西	XL216	202108086197						2021-08-08
C754635	01	06	2021-08-08 08:02:36	1 	工会大楼	ZT218	202108086465						2021-08-08
C731621	01	06	2021-08-08 08:31:52	72 	北京体育馆西	LQ867	202108081680						2021-08-08
C304491	01	06	2021-08-08 08:13:32	72 	洋桥东	PH346	202108082402						2021-08-08
C846425	01	06	2021-08-08 08:35:03	821 	贵园东里	EY582	202108088423						2021-08-08
C840808	01	06	2021-08-08 08:11:06	52 	西单路口东	XD880	202108083907						2021-08-08
C703053	01	06	2021-08-08 08:37:02	1 	复兴门内	HJ242	202108082892						2021-08-08
C837221	01	06	2021-08-08 08:29:05	821 	小周易村	CI405	202108085452						2021-08-08
C764076	01	06	2021-08-08 08:01:56	1 	八王坟西 	VJ646	202108089560						2021-08-08
C629473	01	06	2021-08-08 08:09:42	821 	通州第二医院	IB971	202108087514						2021-08-08
C653856	01	06	2021-08-08 08:45:38	1 	天安门西	XI652	202108086555						2021-08-08
C826454	01	06	2021-08-08 08:35:16	72 	沙子口 	XP130	202108086707						2021-08-08
C713147	01	06	2021-08-08 08:18:18	1 	木樨地西	RK303	202108084243						2021-08-08
C521296	01	06	2021-08-08 08:22:34	52 	民族文化宫	TY775	202108089353						2021-08-08
C517740	01	06	2021-08-08 08:00:30	72 	北京体育馆	VG309	202108085942						2021-08-08
C478522	01	06	2021-08-08 08:50:51	72 	木樨园桥北 	GB481	202108082204						2021-08-08
C650612	01	06	2021-08-08 08:50:40	821 	同济北路南口	YY207	202108084021						2021-08-08
C346775	01	06	2021-08-08 08:50:04	52 	光明桥东	QG119	202108085506						2021-08-08
C553893	01	06	2021-08-08 08:19:36	72 	光明楼	DL693	202108085065						2021-08-08
C789407	01	06	2021-08-08 08:48:17	821 	同济中路	QG397	202108087243						2021-08-08
C650018	01	06	2021-08-08 08:26:48	821 	通州第二医院	EI938	202108085727						2021-08-08
C719304	01	06	2021-08-08 08:11:41	72 	永定门内	UF972	202108087236						2021-08-08
C671022	01	06	2021-08-08 08:50:10	52 	王府井	VJ194	202108083827						2021-08-08
C780901	01	06	2021-08-08 08:22:52	821 	同济中路北口	KO531	202108086490						2021-08-08
C305327	01	06	2021-08-08 08:47:54	821 	永昌南路	NI892	202108086243						2021-08-08
C305376	01	06	2021-08-08 08:50:40	1 	翠微路口	KZ706	202108088328						2021-08-08
C346990	01	06	2021-08-08 08:47:44	1 	永定路口东	BN758	202108089897						2021-08-08
C746794	01	06	2021-08-08 08:28:26	52 	工会大楼	RW518	202108084010						2021-08-08
C623823	01	06	2021-08-08 08:06:41	72 	角门北路	OV358	202108082081						2021-08-08
C515714	01	06	2021-08-08 08:09:36	52 	工会大楼	EY319	202108088517						2021-08-08
C888987	01	06	2021-08-08 08:44:40	821 	地铁亦庄桥站亦庄线	TH978	202108088981						2021-08-08
C869639	01	06	2021-08-08 08:02:40	72 	光明楼	YB759	202108082479						2021-08-08
C392355	01	06	2021-08-08 08:49:10	821 	地铁亦庄桥站亦庄线	RM438	202108081362						2021-08-08
C665789	01	06	2021-08-08 08:18:20	1 	大北窑西 	GZ835	202108087524						2021-08-08
C867127	01	06	2021-08-08 08:21:16	821 	同济北路	FW134	202108081294						2021-08-08
C540647	01	06	2021-08-08 08:34:42	821 	小周易村	YE505	202108083839						2021-08-08
C559757	01	06	2021-08-08 08:45:23	52 	南礼士路	ZK610	202108081226						2021-08-08
C434822	01	06	2021-08-08 08:24:23	1 	木樨地西	DQ281	202108081529						2021-08-08
C752299	01	06	2021-08-08 08:03:05	821 	同济北路	VM140	202108086592						2021-08-08
C762286	01	06	2021-08-08 08:44:40	72 	北京体育馆西	GA953	202108085483						2021-08-08
C618001	01	06	2021-08-08 08:02:27	52 	西单路口东	TT777	202108083524						2021-08-08
C341692	01	06	2021-08-08 08:43:55	72 	洋桥东	YF645	202108086249						2021-08-08
C545598	01	06	2021-08-08 08:22:44	821 	小白村	MF502	202108089795						2021-08-08
C580191	01	06	2021-08-08 08:43:15	72 	嘉园二里南门	TP580	202108086557						2021-08-08
C363733	01	06	2021-08-08 08:29:16	821 	万源街东站	CS358	202108088155						2021-08-08
C775210	01	06	2021-08-08 08:08:22	72 	嘉园三里北	EQ483	202108086646						2021-08-08
