C813746	01	15	安立路	D538791	2021-08-08 08:35:08	I	2021-08-08
C495068	01	5	东单	D782019	2021-08-08 08:23:22	I	2021-08-08
C720157	01	10	三元桥	D615643	2021-08-08 08:04:28	I	2021-08-08
C831623	01	15	马泉营	D381192	2021-08-08 08:34:26	I	2021-08-08
C472637	01	15	国展	D555629	2021-08-08 08:04:49	I	2021-08-08
C710583	01	7	广安门内	D539276	2021-08-08 08:42:39	I	2021-08-08
C392452	01	4	安河桥北	D531802	2021-08-08 08:45:22	I	2021-08-08
C586281	01	1	木樨地	D442138	2021-08-08 08:25:36	I	2021-08-08
C457043	01	4	新街口	D726179	2021-08-08 08:12:30	I	2021-08-08
C665121	01	1	玉泉路	D527751	2021-08-08 08:00:44	I	2021-08-08
C475481	01	8	什刹海	D719074	2021-08-08 08:05:15	I	2021-08-08
C371179	01	5	东四	D322989	2021-08-08 08:15:34	I	2021-08-08
C699357	01	8	平西府	D340792	2021-08-08 08:06:35	I	2021-08-08
C755109	01	8	育知路	D376210	2021-08-08 08:31:11	I	2021-08-08
C645745	01	7	九龙山	D428127	2021-08-08 08:03:41	I	2021-08-08
C846483	01	14	将台	D831839	2021-08-08 08:51:48	I	2021-08-08
C590333	01	15	关庄	D397355	2021-08-08 08:46:17	I	2021-08-08
C866872	01	5	雍和宫	D351709	2021-08-08 08:40:35	I	2021-08-08
C517977	01	8	朱辛庄	D818382	2021-08-08 08:50:57	I	2021-08-08
C632276	01	2	复兴门	D423935	2021-08-08 08:35:49	I	2021-08-08
C879544	01	1	军事博物馆	D764414	2021-08-08 08:02:55	I	2021-08-08
C540862	01	6	慈寿寺	D539315	2021-08-08 08:02:41	I	2021-08-08
C864404	01	14	方庄	D435749	2021-08-08 08:23:23	I	2021-08-08
C386697	01	15	崔各庄	D528350	2021-08-08 08:35:34	I	2021-08-08
C704440	01	8	奥林匹克公园	D793855	2021-08-08 08:25:04	I	2021-08-08
C825243	01	7	九龙山	D386290	2021-08-08 08:25:28	I	2021-08-08
C588695	01	1	万寿路	D878602	2021-08-08 08:15:18	I	2021-08-08
C351962	01	14	大望路	D789032	2021-08-08 08:40:43	I	2021-08-08
C449726	01	14	景泰	D811623	2021-08-08 08:44:39	I	2021-08-08
C313653	01	1	公主坟	D374180	2021-08-08 08:52:05	I	2021-08-08
C448854	01	7	广安门内	D381930	2021-08-08 08:18:18	I	2021-08-08
C419022	01	6	十里堡	D369996	2021-08-08 08:48:13	I	2021-08-08
C779623	01	10	健德门	D387260	2021-08-08 08:39:02	I	2021-08-08
C564272	01	4	西四	D764777	2021-08-08 08:25:36	I	2021-08-08
C321068	01	13	霍营	D499429	2021-08-08 08:01:50	I	2021-08-08
C570770	01	13	光熙门	D699566	2021-08-08 08:05:09	I	2021-08-08
C626692	01	1	木樨地	D598077	2021-08-08 08:03:51	I	2021-08-08
C888787	01	10	安贞门	D482409	2021-08-08 08:11:59	I	2021-08-08
C588600	01	13	芍药居	D604015	2021-08-08 08:26:00	I	2021-08-08
